City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
197,Ingham,42.6,-84.3833,77.16,67,40,6.91,US,2021-10-02 19:04:04
198,Sosnovo-Ozerskoye,52.5249,111.5418,27.75,79,100,3.33,RU,2021-10-02 19:04:04
199,Muisne,0.6,-80.0333,78.91,82,93,12.71,EC,2021-10-02 19:04:05
200,Zhigansk,66.7697,123.3711,26.4,86,13,10.89,RU,2021-10-02 19:04:05
201,Kavaratti,10.5669,72.642,81.93,80,100,15.48,IN,2021-10-02 19:04:06
202,Katsuura,35.1333,140.3,69.91,83,0,2.84,JP,2021-10-02 19:04:06
203,Yulara,-25.2406,130.9889,60.64,51,0,8.05,AU,2021-10-02 19:04:06
204,Baihar,22.1,80.55,71.71,94,0,0.6,IN,2021-10-02 19:04:07
205,Ljubljana,46.0511,14.5051,58.73,87,20,3.44,SI,2021-10-02 19:00:08
206,Kyren,51.6828,102.1408,32.14,91,100,0.65,RU,2021-10-02 18:59:07
207,Shingu,33.7333,135.9833,64.96,76,0,5.57,JP,2021-10-02 19:04:07
208,Portage,41.1667,-81.1998,76.24,51,100,1.01,US,2021-10-02 19:04:07
209,Abu Zabad,12.35,29.25,79.72,33,100,7.16,SD,2021-10-02 19:04:08
210,Homer,59.6425,-151.5483,42.69,57,90,3.44,US,2021-10-02 19:04:08
211,Kolyvan,55.3053,82.7391,34.05,95,96,8.88,RU,2021-10-02 19:04:08
212,Hamilton,39.1834,-84.5333,81.0,72,20,4.61,US,2021-10-02 19:02:19
213,Puerto Ayora,-0.7393,-90.3518,72.23,79,84,11.12,EC,2021-10-02 19:04:09
214,Saint-Francois,46.4154,3.9054,70.48,49,0,17.27,FR,2021-10-02 19:04:09
215,Fortuna,40.5982,-124.1573,58.12,94,40,8.05,US,2021-10-02 19:04:10
216,Escanaba,45.7453,-87.0646,73.83,83,90,6.91,US,2021-10-02 19:00:05
217,Shache,38.4167,77.2406,68.67,21,70,6.6,CN,2021-10-02 19:04:10
218,Tabou,4.423,-7.3528,77.85,85,71,6.91,CI,2021-10-02 19:04:10
219,Santa Isabel,-23.3156,-46.2214,78.58,52,100,6.44,BR,2021-10-02 19:04:11
220,Oksovskiy,62.6062,39.8984,44.1,82,100,3.74,RU,2021-10-02 19:04:11
221,Garowe,8.4054,48.4845,77.86,71,99,11.68,SO,2021-10-02 19:04:11
222,Cherskiy,68.75,161.3,24.44,96,100,7.72,RU,2021-10-02 19:04:12
223,Cotonou,6.3654,2.4183,82.38,83,40,11.5,BJ,2021-10-02 18:59:14
224,Lebu,-37.6167,-73.65,51.87,53,7,16.87,CL,2021-10-02 19:00:59
225,Xai-Xai,-25.0519,33.6442,74.39,67,70,3.62,MZ,2021-10-02 19:04:14
226,Krasnoselkup,65.7,82.4667,28.47,96,100,8.1,RU,2021-10-02 19:04:14
227,Provideniya,64.3833,-173.3,22.62,76,4,5.32,RU,2021-10-02 19:04:14
228,Batemans Bay,-35.7167,150.1833,51.19,94,14,3.44,AU,2021-10-02 19:00:19
229,Margate,51.3813,1.3862,64.11,95,100,5.01,GB,2021-10-02 19:04:15
230,Mahebourg,-20.4081,57.7,74.25,75,71,15.66,MU,2021-10-02 19:04:16
231,Serebryansk,49.6925,83.2892,24.71,93,18,0.89,KZ,2021-10-02 19:04:16
232,Kolosovka,56.4678,73.611,34.34,98,100,7.45,RU,2021-10-02 19:04:17
233,Aketi,2.7388,23.7833,68.7,99,100,0.85,CD,2021-10-02 19:04:17
234,Monrovia,6.3005,-10.7969,78.57,87,100,7.78,LR,2021-10-02 19:02:35
235,Limon,10.0,-83.0333,84.27,68,100,7.02,CR,2021-10-02 19:00:24
236,Narsaq,60.9167,-46.05,49.71,47,11,8.32,GL,2021-10-02 19:00:00
237,Fairbanks,64.8378,-147.7164,33.1,95,90,8.05,US,2021-10-02 19:02:53
238,Puerto Escondido,15.85,-97.0667,85.77,71,29,7.43,MX,2021-10-02 19:04:18
239,Namatanai,-3.6667,152.4333,78.24,79,100,4.07,PG,2021-10-02 19:04:18
240,Souillac,-20.5167,57.5167,74.35,75,15,13.49,MU,2021-10-02 19:04:18
241,Petropavlovka,50.6114,105.3196,30.97,89,100,5.08,RU,2021-10-02 19:04:18
242,Santa Rosa,14.3122,121.1114,79.86,84,89,6.93,PH,2021-10-02 19:02:35
243,Castrillon,43.3979,-6.7922,73.94,67,100,16.35,ES,2021-10-02 19:04:19
244,Huarmey,-10.0681,-78.1522,68.11,72,22,9.69,PE,2021-10-02 19:04:19
245,Waipawa,-41.4122,175.5153,52.03,86,100,3.04,NZ,2021-10-02 19:04:20
246,Kodinsk,58.6881,99.1844,32.81,93,99,1.59,RU,2021-10-02 19:04:20
247,Hualmay,-11.0964,-77.6139,66.88,73,42,9.13,PE,2021-10-02 19:04:20
248,Punta Alta,-38.8759,-62.0736,63.86,27,75,20.69,AR,2021-10-02 19:04:21
249,Los Llanos De Aridane,28.6585,-17.9182,76.12,68,40,13.8,ES,2021-10-02 19:04:21
250,Jequie,-13.8575,-40.0836,94.32,25,0,10.69,BR,2021-10-02 19:02:21
251,Nabire,-3.3667,135.4833,74.91,92,89,2.91,ID,2021-10-02 19:04:22
252,Jiaohe,43.7286,127.3447,45.81,70,100,3.09,CN,2021-10-02 19:04:22
253,Sungaipenuh,-2.0833,101.3833,64.78,92,99,1.72,ID,2021-10-02 19:04:22
254,Lata,40.1629,-8.3327,67.08,94,100,5.3,PT,2021-10-02 19:04:23
255,Sinnamary,5.3833,-52.95,85.05,67,100,10.45,GF,2021-10-02 19:01:14
256,Clyde River,70.4692,-68.5914,38.91,85,100,4.81,CA,2021-10-02 19:03:15
257,Bikaner,28.0167,73.3,89.94,47,0,10.31,IN,2021-10-02 19:00:20
258,Doctor Arroyo,23.6667,-100.1833,72.54,52,98,8.25,MX,2021-10-02 19:04:23
259,Praia Da Vitoria,38.7333,-27.0667,74.75,85,90,16.67,PT,2021-10-02 19:04:24
260,Dobrinka,52.1653,40.4731,45.09,69,14,6.33,RU,2021-10-02 19:04:24
261,Hochst,47.4593,9.6405,66.31,43,54,7.47,AT,2021-10-02 19:04:25
262,Surt,31.2089,16.5887,76.08,69,0,16.13,LY,2021-10-02 19:04:25
263,Voh,-20.9667,164.7,69.08,94,32,4.72,NC,2021-10-02 19:04:25
264,Negombo,7.2083,79.8358,77.05,88,20,2.3,LK,2021-10-02 19:04:26
265,Ati,13.2154,18.3353,93.24,17,2,4.45,TD,2021-10-02 19:04:26
266,Arrecife,28.963,-13.5477,75.27,73,20,24.16,ES,2021-10-02 19:04:26
267,Porto Santo,33.072,-16.3415,71.98,68,75,8.05,PT,2021-10-02 19:04:27
268,Juneau,58.3019,-134.4197,44.22,89,75,9.22,US,2021-10-02 19:00:13
269,Pandan Niog,6.2282,120.5631,83.75,71,83,5.68,PH,2021-10-02 19:04:27
270,Dikson,73.5069,80.5464,33.76,98,100,15.41,RU,2021-10-02 19:04:27
271,Road Town,18.4167,-64.6167,86.04,70,20,13.8,VG,2021-10-02 19:04:28
272,Nahavand,34.1885,48.377,65.16,26,0,5.32,IR,2021-10-02 19:04:28
273,College,64.8569,-147.8028,33.75,94,90,0.0,US,2021-10-02 19:03:04
274,Vila Velha,-20.3297,-40.2925,83.95,78,20,21.85,BR,2021-10-02 19:04:28
275,Verkhnyaya Inta,65.9811,60.3094,31.55,88,18,3.36,RU,2021-10-02 19:04:29
276,Autazes,-3.5797,-59.1306,91.13,49,100,0.72,BR,2021-10-02 19:04:29
277,Nome,64.5011,-165.4064,33.17,74,20,8.05,US,2021-10-02 19:04:29
278,Dingle,10.9995,122.6711,76.64,91,100,2.46,PH,2021-10-02 19:04:30
279,Klaksvik,62.2266,-6.589,49.12,86,100,22.37,FO,2021-10-02 19:04:30
280,Bandarbeyla,9.4942,50.8122,78.8,79,62,23.09,SO,2021-10-02 19:04:30
281,Maceio,-9.6658,-35.7353,85.44,74,40,12.66,BR,2021-10-02 19:02:32
282,Alice Springs,-23.7,133.8833,72.95,35,0,17.27,AU,2021-10-02 19:00:13
283,Guipavas,48.4352,-4.3972,57.52,88,75,11.5,FR,2021-10-02 19:04:31
284,Pacifica,37.6138,-122.4869,90.36,68,1,5.75,US,2021-10-02 19:04:27
285,Lagoa,39.05,-27.9833,70.95,90,91,18.1,PT,2021-10-02 19:00:21
286,Sisimiut,66.9395,-53.6735,37.15,77,22,6.6,GL,2021-10-02 19:04:31
287,Korla,41.7597,86.1469,54.9,36,100,22.64,CN,2021-10-02 19:04:32
288,Camacha,33.0833,-16.3333,69.22,68,75,8.05,PT,2021-10-02 19:04:32
289,Dunedin,-45.8742,170.5036,48.99,78,100,6.55,NZ,2021-10-02 19:04:32
290,Murgab,37.4966,61.9714,51.67,43,0,4.61,TM,2021-10-02 19:04:33
291,Highlands Ranch,39.5539,-104.9694,71.11,43,20,1.01,US,2021-10-02 19:04:33
292,Brandon,27.9378,-82.2859,92.19,54,40,1.99,US,2021-10-02 19:03:49
293,Riyadh,24.6877,46.7219,86.95,13,6,4.07,SA,2021-10-02 19:00:40
294,Zaporizhzhya,47.8167,35.1833,50.67,57,0,6.71,UA,2021-10-02 19:02:06
