City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
230,Coquimbo,CL,-29.9533,-71.3436,62.33,59,0,17.27,clear sky
231,Pacific Grove,US,36.6177,-121.9166,98.62,38,1,1.99,clear sky
232,Bixby,US,35.942,-95.8833,84.09,50,20,6.91,few clouds
233,Ratnagiri,IN,16.9833,73.3,79.34,88,99,5.1,overcast clouds
234,Kavaratti,IN,10.5669,72.642,81.25,79,100,10.65,overcast clouds
235,Krasnyy Yar,RU,46.5331,48.3456,46.33,46,100,9.84,overcast clouds
236,Denpasar,ID,-8.65,115.2167,76.71,88,20,2.3,few clouds
237,Bengkulu,ID,-3.8004,102.2655,74.7,91,96,3.31,overcast clouds
238,Ust-Barguzin,RU,53.45,108.9833,36.32,82,100,1.63,overcast clouds
239,Kiunga,PG,-6.1219,141.2906,70.7,99,94,0.87,overcast clouds
240,Nouadhibou,MR,20.931,-17.0347,71.58,83,0,12.66,clear sky
241,Rawson,AR,-43.3002,-65.1023,61.77,31,23,12.84,few clouds
242,Porto Novo,BJ,6.4965,2.6036,82.22,87,31,4.81,scattered clouds
243,Casablanca,MA,33.5928,-7.6192,70.75,77,49,8.99,scattered clouds
244,Jalu,LY,29.0331,21.5482,74.12,42,0,5.93,clear sky
245,Dabola,GN,10.75,-11.1167,71.64,95,48,1.77,light rain
246,Jardim,BR,-21.4803,-56.1381,87.17,49,34,6.46,moderate rain
247,Tame,CO,6.461,-71.73,84.29,68,78,2.86,broken clouds
248,Genhe,CN,50.7833,121.5167,30.13,77,100,1.25,overcast clouds
249,Jumla,NP,29.2747,82.1838,53.69,90,55,2.37,broken clouds
250,Aksha,RU,50.2814,113.2867,33.71,84,96,3.98,overcast clouds
251,Kokologo,BF,12.1897,-1.8856,84.06,40,9,5.95,clear sky
252,Jaisalmer,IN,26.9147,70.9181,83.93,65,8,17.29,clear sky
253,Nata,PA,8.3333,-80.5167,91.27,79,100,2.13,overcast clouds
254,Ilulissat,GL,69.2167,-51.1,28.42,64,20,2.3,few clouds
255,Mabaruma,GY,8.2,-59.7833,76.01,96,89,4.38,overcast clouds
256,Henties Bay,NA,-22.116,14.2845,54.86,91,0,2.71,clear sky
257,Ponta Do Sol,PT,32.6667,-17.1,76.01,79,100,4.25,overcast clouds
258,Constitucion,CL,-35.3333,-72.4167,57.92,62,0,19.93,clear sky
259,Severo-Kurilsk,RU,50.6789,156.125,47.53,78,76,35.57,broken clouds
260,Teguldet,RU,57.3064,88.1667,30.51,97,93,2.91,overcast clouds
261,Dormidontovka,RU,47.7702,134.9076,42.01,93,100,4.09,overcast clouds
262,Kumukh,RU,42.1704,47.1161,45.81,93,83,2.93,broken clouds
263,Rodino,RU,52.5,80.25,35.4,66,96,5.93,overcast clouds
264,Margate,GB,51.3813,1.3862,55.04,80,0,1.99,clear sky
